"Qty","Reference","Value","Datasheet","Footprint","Manufacturer","Manufacturer Part Number","Mouser","TME"
"9","C301,C302,C303,C304,C307,C310,C311,C312,C313","100n","~","Capacitor_SMD:C_0402_1005Metric","Samsung Electro-Mechanics","CL05F104ZO5NNND","https://www.mouser.pl/ProductDetail/Samsung-Electro-Mechanics/CL05F104ZO5NNND?qs=xZ%2FP%252Ba9zWqbhYdSKVkemeA%3D%3D",""
"5","C305,C401,C402,C403,C404","4.7u","~","Capacitor_SMD:C_0603_1608Metric","Samsung Electro-Mechanics","CL10A475KP8NNNL","https://www.mouser.pl/ProductDetail/Samsung-Electro-Mechanics/CL10A475KP8NNNL?qs=xZ%2FP%252Ba9zWqZgU%2Fu36Vz%2FLw%3D%3D",""
"2","C306,C314","4.7n","~","Capacitor_SMD:C_0402_1005Metric","Murata Electronics","GRM155R71C472KA01D","https://www.mouser.pl/ProductDetail/Murata-Electronics/GRM155R71C472KA01D?qs=y02iAgv9n60tMMjiApvf3A%3D%3D",""
"2","C308,C309","20p","~","Capacitor_SMD:C_0402_1005Metric","Walsin","0402N200J160CT","https://www.mouser.pl/ProductDetail/Walsin/0402N200J160CT?qs=ZrPdAQfJ6DMgXpTHiVt4Bw%3D%3D",""
"79","D201,D202,D203,D204,D205,D206,D207,D208,D209,D210,D211,D212,D213,D214,D215,D216,D217,D218,D219,D220,D221,D222,D223,D224,D225,D226,D227,D228,D229,D230,D231,D232,D233,D234,D235,D236,D237,D238,D239,D240,D241,D242,D243,D244,D245,D246,D247,D248,D249,D250,D251,D252,D253,D254,D255,D256,D257,D258,D259,D260,D261,D262,D263,D264,D265,D266,D267,D268,D269,D270,D271,D272,D273,D274,D275,D276,D277,D278,D279","CES521,L3F","~","Diode_SMD:D_SOD-523","Toshiba","CES521,L3F","https://www.mouser.pl/ProductDetail/Toshiba/CES521L3F?qs=%252B8yZ8wZTKG4XxrwXbkAgcg%3D%3D",""
"4","D301,D401,D402,D403","RED","https://www.tme.eu/Document/9b3077826c79adf279b69afeda5276c0/FYLS-0603URC.pdf","LED_SMD:LED_0603_1608Metric","ROHM Semiconductor","SML-D12U1WT86","https://www.mouser.pl/ProductDetail/ROHM-Semiconductor/SML-D12U1WT86?qs=M3jcYzEJUdEySuGkbjHEtQ%3D%3D","https://www.tme.eu/pl/details/fyls-0603urc/diody-led-smd-kolorowe/foryard/"
"1","IC301","STM32G431RBT6","https://www.mouser.pl/datasheet/2/389/stm32g431c6-1600866.pdf","STM32G431RBT6:QFP50P1200X1200X160-64N","STMicroelectronics","STM32G431RBT6","https://www.mouser.pl/ProductDetail/STMicroelectronics/STM32G431RBT6?qs=T3oQrply3y8GpSwPjv1GMg%3D%3D",""
"1","J301","12401948E412A","https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_2_0_type_c_lite.pdf","USBC20_12401948E412A:AMPHENOL_12401948E412A","Amphenol Commercial Products","12401948E412A","https://www.mouser.pl/ProductDetail/Amphenol-Commercial-Products/12401948E412A?qs=81r%252BiQLm7BQzhJBuIUflDw%3D%3D",""
"1","J302","Conn_01x06","https://www.tme.eu/Document/7cc40d26dba7b74d334f4988f7b910d2/A1001WV-S-XP---12C1.pdf","A1001WV-S-6P:A1001WV-S-6P","JOINT TECH","A1001WV-S-6P","","https://www.tme.eu/pl/details/nx1001-06sms/zlacza-sygnalowe-raster-1-00mm/joint-tech/a1001wv-s-6p/"
"8","J303,J304,J305,J306,J307,J308,J401,J402","1703375","https://www.phoenixcontact.com/en-us/products/printed-circuit-board-terminal-ptq-03-2-25-l-thr-r32-1703375?type=pdf","PHOENIX_1703375:PHOENIX_1703375","Phoenix Contact","1703375","https://www.mouser.pl/ProductDetail/Phoenix-Contact/1703375?qs=sGAEpiMZZMvPvGwLNS6710luXqvAubdB%2FaQoEZVqpXc%3D",""
"1","J309","DFR0648","~","A1001WV-S-6P:A1001WV-S-6P","","","https://www.mouser.pl/ProductDetail/DFRobot/DFR0648?qs=vmHwEFxEFR%252BOHULgCJcjJQ%3D%3D",""
"2","R301,R302","5k1","~","Resistor_SMD:R_0402_1005Metric","YAGEO","RT0402FRE075K1L","https://www.mouser.pl/ProductDetail/YAGEO/RT0402FRE075K1L?qs=sGAEpiMZZMvdGkrng054t%252BSYh%252B1gqt956ckdaAkf6p8%3D",""
"7","R303,R304,R306,R307,R308,R309,R310","10k","~","Resistor_SMD:R_0402_1005Metric","YAGEO","RT0402FRE1310KL","https://www.mouser.pl/ProductDetail/YAGEO/RT0402FRE1310KL?qs=sGAEpiMZZMvdGkrng054t7k5ZIiTyf7N%2F386Z%252B%2FAfyiJZeg4BFUw6w%3D%3D",""
"3","R305,R311,R312","0R","~","Resistor_SMD:R_0402_1005Metric","YAGEO","RC0402JR-070RP","https://www.mouser.pl/ProductDetail/YAGEO/RC0402JR-070RP?qs=sGAEpiMZZMtlubZbdhIBINt%2Ft6Hry3%2FBkzFf99agDSE%3D",""
"4","R313,R401,R402,R403","100R","~","Resistor_SMD:R_0402_1005Metric","YAGEO","RC0402JR-07100RP","https://www.mouser.pl/ProductDetail/YAGEO/RC0402JR-07100RP?qs=oypCK0zG327dOPz2698Mug%3D%3D",""
"79","SW201,SW202,SW203,SW204,SW205,SW206,SW207,SW208,SW209,SW210,SW211,SW212,SW213,SW214,SW215,SW216,SW217,SW218,SW219,SW220,SW221,SW222,SW223,SW224,SW225,SW226,SW227,SW228,SW229,SW230,SW231,SW232,SW233,SW234,SW235,SW236,SW237,SW238,SW239,SW240,SW241,SW242,SW243,SW244,SW245,SW246,SW247,SW248,SW249,SW250,SW251,SW252,SW253,SW254,SW255,SW256,SW257,SW258,SW259,SW260,SW261,SW262,SW263,SW264,SW265,SW266,SW267,SW268,SW269,SW270,SW271,SW272,SW273,SW274,SW275,SW276,SW277,SW278,SW279","SW_Push","~","-- różne wartości --","","","",""
"1","SW301","Boot","https://www.mouser.pl/datasheet/2/315/sw_lt_eng_6s_th-1289042.pdf","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","Panasonic","EVQ-6Q201W","https://www.mouser.pl/ProductDetail/Panasonic/EVQ-6Q201W?qs=PzGy0jfpSMsfxVKNJ%2FGEzg%3D%3D",""
"1","SW302","PEC11S_929K","https://www.mouser.pl/datasheet/2/54/pec11s-953234.pdf","PEC11S_929K_S0015:PEC11S-929K-S0015","Bourns","PEC11S-929K-S0015","https://www.mouser.pl/ProductDetail/Bourns/PEC11S-929K-S0015?qs=80T3JVN997A05YR0wgcotA%3D%3D",""
"1","U301","USBLC6-2SC6","https://www.mouser.pl/datasheet/2/389/usblc6_2-1852789.pdf","USBLC6-2SC6:SOT95P280X145-6N","STMicroelectronics","USBLC6-2SC6","https://www.mouser.pl/ProductDetail/STMicroelectronics/USBLC6-2SC6?qs=po45yt2pPpu%2FhNIlwQdTlg%3D%3D",""
"2","U401,U402","AP7361C-33E","https://www.diodes.com/assets/Datasheets/AP7361C.pdf","Package_TO_SOT_SMD:SOT-223","Diodes Incorporated","AP7361C-33ER-13","https://www.mouser.pl/ProductDetail/Diodes-Incorporated/AP7361C-33ER-13?qs=60RJRzIpcl8A1pMqYmc7oA%3D%3D",""
"1","Y301","830108208209","https://www.we-online.com/components/products/datasheet/830108208209.pdf","Crystal:Crystal_SMD_2520-4Pin_2.5x2.0mm","Wurth Elektronik","830108208209","https://www.mouser.pl/ProductDetail/Wurth-Elektronik/830108208209?qs=hWgE7mdIu5Qfk68EXTEoAw%3D%3D",""
